"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Handlebars", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\language\dto\create-language.dto.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\language\dto\update-language.dto.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\language\entities\language.entity.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 8, 29
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\language\language.controller.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 1, 9, 45
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\language\language.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\language\language.service.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 17, 82
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\mail\mail.controller.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 4, 15
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\mail\mail.module.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 2, 40
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\mail\mail.service.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 3, 22
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\mail\templates\confirmation.hbs", "Handlebars", 0, 0, 0, 6, 0, 0, 0, 0, 6
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\main.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 5, 28
